City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
278,Axim,GH,79.43,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
288,Correntina,BR,81.5,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
289,Dire Dawa,ET,75.99,broken clouds,9.5931,41.8661,Samrat Hotel
301,Marsh Harbour,BS,80.82,broken clouds,26.5412,-77.0636,Abaco Beach Resort
310,Meulaboh,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
314,Auki,SB,76.26,clear sky,-8.7676,160.7034,Auki Motel
315,Bossangoa,CF,77.31,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
319,Vao,NC,75.45,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
322,The Valley,AI,84.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
326,Hambantota,LK,79.18,broken clouds,6.1241,81.1185,Bungalow 63
329,Cockburn Town,TC,81.0,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Pathein,MM,79.56,moderate rain,16.7833,94.7333,Pathein Hotel
336,Satipo,PE,77.49,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
338,Isangel,VU,76.14,moderate rain,-19.55,169.2667,Tanna Lodge
354,Hami,CN,76.14,clear sky,42.8,93.45,Laoyutang Resort
355,Binabalian,PH,78.48,light rain,16.4202,119.9279,Sundowners Vacation Villas
362,Maracacume,BR,79.3,heavy intensity rain,-2.0428,-45.9592,Hotel Ramos
364,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
365,Korla,CN,78.08,overcast clouds,41.7597,86.1469,Gulisitan Hotel
378,Vanimo,PG,78.04,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
380,Nabinagar,BD,75.45,moderate rain,23.8917,90.9733,ওমান হাউজ
381,Senador Jose Porfirio,BR,77.85,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
387,Daru,PG,79.52,overcast clouds,-9.0763,143.2092,Daru Lodge
393,Padang,ID,78.35,light rain,-0.9492,100.3543,Mercure Padang
395,Nanakuli,US,81.61,light rain,21.3906,-158.1547,Camp Pālehua
399,Galle,LK,79.79,broken clouds,6.0367,80.217,Amangalla
400,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
401,Sola,VU,81.59,few clouds,-13.8833,167.55,Leumerus Bungalows
405,San Javier,ES,77.22,clear sky,37.8063,-0.8374,Hotel Mar Menor
408,Acarau,BR,82.09,overcast clouds,-2.8856,-40.12,castelo pizzaria
409,La Asuncion,VE,83.1,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
414,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
424,Fallon,US,80.47,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
433,Porangatu,BR,79.23,scattered clouds,-13.4408,-49.1486,Wembley Park Hotel
435,Parintins,BR,75.13,overcast clouds,-2.6283,-56.7358,Cama e Cafe
440,Florence,IT,76.68,clear sky,43.7667,11.25,Hotel Nuova Italia
447,Banda Aceh,ID,80.62,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
450,Yen Bai,VN,75.29,overcast clouds,21.7,104.8667,AK MOTEL
453,Ransang,PH,79.54,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
469,Tabou,CI,79.23,light rain,4.423,-7.3528,hotêl doufoulougou
472,Alexandria,EG,75.42,clear sky,31.2156,29.9553,Royal Crown Hotel
481,Ukiah,US,80.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
482,Banjar,ID,77.83,overcast clouds,-8.19,114.9675,The Hamsa Resort
483,Samarai,PG,81.05,scattered clouds,-10.6167,150.6667,Nuli Sapi
494,Dwarka,IN,82.35,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
495,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
498,Maragogi,BR,81.14,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
499,Bijapur,IN,75.65,overcast clouds,16.8333,75.7,Rajdhani Lodge
503,Santa Marta De Tormes,ES,78.82,clear sky,40.9506,-5.6272,Hotel Alameda Palace
504,Tevaitoa,PF,80.24,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
508,Ponorogo,ID,75.43,overcast clouds,-7.8685,111.462,OYO 1190 Ndalem Katong Residence
510,Wukari,NG,78.35,broken clouds,7.85,9.7833,Elimtop
513,Itupiranga,BR,84.52,broken clouds,-5.1347,-49.3267,Hotel Panorama
518,Labrea,BR,83.39,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
519,Gwadar,PK,83.03,clear sky,25.1216,62.3254,Sadaf Resort
523,Candelaria,PH,77.9,overcast clouds,13.9311,121.4233,Casa de Provincia
524,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
527,Pemangkat,ID,80.8,overcast clouds,1.1667,108.9667,Ramah Kost KITA
528,Hobyo,SO,80.47,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
536,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
542,Piranhas,BR,75.61,overcast clouds,-16.4269,-51.8222,Planalto Hotel
545,Beyneu,KZ,75.09,clear sky,45.3167,55.2,NUR
547,Dawei,MM,78.35,very heavy rain,14.0833,98.2,Hotel Dawei
548,Kieta,PG,78.53,clear sky,-6.2167,155.6333,Uruna Bay Retreat
549,Namatanai,PG,78.85,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
551,Bouafle,CI,82.26,overcast clouds,6.9904,-5.7442,Hotel Zaouli
553,Biankouma,CI,76.84,light rain,7.7391,-7.6138,Hôtel Licolais
561,Miraflores,MX,81.25,few clouds,19.2167,-98.8083,Hotel Mansión
565,Caceres,ES,82.62,overcast clouds,39.522,-6.3748,Ahc Hoteles
573,Bugko,PH,76.39,broken clouds,12.5356,124.7923,Sangkay Beach Resort
577,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
578,Carlsbad,US,80.08,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
585,Rincon De La Victoria,ES,78.35,broken clouds,36.7172,-4.2758,Fay Hotels Victoria Beach
587,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
596,Pontian Kecil,MY,80.58,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
601,Eyl,SO,81.7,overcast clouds,7.9803,49.8164,Amiin Hotel
608,Langsa,ID,75.33,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
611,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
613,Salaga,GH,84.38,clear sky,8.5508,-0.5188,Bore Nada Guest House
615,Semnan,IR,75.74,clear sky,35.5729,53.3971,Semnan Tourist Hotel
620,Bandarbeyla,SO,82.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
623,Riberalta,BO,77.2,overcast clouds,-10.9833,-66.1,Hotel Colonial
625,Yenagoa,NG,76.89,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
627,Mlonggo,ID,77.2,broken clouds,-6.5333,110.7,Asia Metal Art
640,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Novotel Dakar
648,Alugan,PH,79.92,overcast clouds,12.2188,125.4808,JM Lodge
657,Kazerun,IR,80.42,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
677,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
